feature,importance
SMR_VSA3,8.978306379608947e-13
NumHDonorsDensity,8.951353113600957e-13
EState_VSA5Density,8.79258688427087e-13
fr_azoDensity,8.287969919737459e-13
fr_Ar_NHDensity,8.251295154949878e-13
SMR_VSA9Density,8.239647571010866e-13
fr_Al_COODensity,8.147267582803153e-13
FpDensityMorgan2,8.112527034691286e-13
fr_ArN,7.858034969249195e-13
fr_oximeDensity,7.748824910717989e-13
NumValenceElectrons,7.736959402142307e-13
fr_epoxide,7.708935486488988e-13
EState_VSA1Density,7.311202966826802e-13
fr_halogenDensity,7.267570334597295e-13
EState_VSA8,7.23637024867968e-13
PEOE_VSA10,7.208604915244499e-13
fr_bicyclicDensity,7.184402812249191e-13
NumHAcceptorsDensity,7.109069192698381e-13
NumAliphaticHeterocyclesDensity,7.072196018913235e-13
fr_imide,7.066406379312162e-13
SlogP_VSA5Density,6.990095351502856e-13
fr_benzodiazepineDensity,6.986924602249422e-13
fr_isocyan,6.914136147298522e-13
fr_COO2,6.905708101710706e-13
fr_dihydropyridineDensity,6.424795049274346e-13
EState_VSA10,6.19595683353652e-13
NumBridgeheadAtoms,6.183028264730717e-13
fr_sulfonamdDensity,6.020390349442684e-13
ExactMolWtDensity,5.947701641091652e-13
fr_alkyl_halideDensity,5.905811321753329e-13
SMR_VSA2Density,5.8614230006096e-13
PEOE_VSA12Density,5.859819465596494e-13
fr_pyridineDensity,5.797899053222588e-13
fr_alkyl_carbamate,5.719227717283781e-13
NumRadicalElectrons,5.61254764452207e-13
BCUT2D_LOGPLOW,5.559271033968305e-13
EState_VSA11,5.465800338375071e-13
SMR_VSA4,5.403080326898957e-13
FractionCSP3Density,5.279443332159572e-13
NumAliphaticHeterocycles,5.22215679987087e-13
fr_NH1Density,5.142759048476497e-13
Chi0v,5.109564572662595e-13
fr_HOCCNDensity,5.108551385732407e-13
fr_phenol,4.994202751004706e-13
Phi,4.976598560330059e-13
NumAromaticHeterocyclesDensity,4.908413085702445e-13
NumHDonors,4.87798928854033e-13
SlogP_VSA12,4.816552430335352e-13
Kappa3,4.796225808005594e-13
SlogP_VSA9,4.694799778971748e-13
MaxAbsEStateIndexDensity,4.643848239976878e-13
NumAmideBondsDensity,4.612301209364067e-13
BCUT2D_MRHI,4.558829442419254e-13
VSA_EState6Density,4.3990240053068397e-13
fr_priamideDensity,4.308680148779054e-13
fr_amidineDensity,4.3079602385365234e-13
BCUT2D_LOGPHI,4.0183308069874357e-13
EState_VSA6Density,3.983844504285017e-13
PEOE_VSA7,3.968393539124926e-13
fr_C_O_noCOODensity,3.8095150948699863e-13
VSA_EState10Density,3.682923920261122e-13
fr_lactoneDensity,3.559698922347282e-13
fr_sulfone,3.427349550000347e-13
fr_Ar_N,3.192544969707334e-13
fr_morpholine,3.0683029901557024e-13
SlogP_VSA4Density,3.059673282963804e-13
VSA_EState2,3.012502356944391e-13
VSA_EState7,3.004881228823447e-13
fr_ketone_ToplissDensity,2.849007108788465e-13
Chi1v,2.687367743701291e-13
HeavyAtomMolWtDensity,2.4932527288405726e-13
Chi0n,2.4386233050260886e-13
fr_COODensity,2.4186788639621315e-13
fr_thiopheneDensity,2.293404452891751e-13
fr_C_ODensity,2.1798891630588763e-13
BCUT2D_LOGPHIDensity,2.1691121934643703e-13
PEOE_VSA6Density,2.1208376851586386e-13
fr_methoxy,1.826223227545734e-13
fr_ImineDensity,1.8164392516159533e-13
fr_imidazoleDensity,1.7858121665464965e-13
NumAromaticRingsDensity,1.7731031486806215e-13
fr_piperdine,1.7176463430832595e-13
fr_sulfonamd,1.7050015641961042e-13
VSA_EState9Density,1.5357046146899367e-13
fr_imideDensity,1.4624595750991481e-13
SMR_VSA4Density,1.4058438929046707e-13
fr_tetrazoleDensity,1.4052248134641815e-13
SlogP_VSA1Density,1.4022642639069383e-13
SlogP_VSA11,1.3811468516176234e-13
VSA_EState5,1.3271596820650655e-13
BCUT2D_LOGPLOWDensity,1.2995534552986965e-13
SlogP_VSA8Density,1.218799366986545e-13
fr_Al_OH_noTertDensity,1.0988244683726375e-13
MinAbsEStateIndex,1.0941093408871339e-13
qedDensity,8.008857113736209e-14
SMR_VSA5Density,7.9055638175108e-14
fr_tetrazole,7.549704269952176e-14
fr_NH0,6.503010749250165e-14
fr_nitro_arom_nonorthoDensity,6.137566176860412e-14
NumAliphaticRings,5.699448888101671e-14
SlogP_VSA2,4.9307536135675956e-14
HallKierAlpha,3.062563833718286e-14
fr_hdrzoneDensity,1.5794658942834723e-14
Ipc,2.170594348656135e-15
